Date,Open,High,Low,Volume,Close,Time,Day
2010-01-04,20.790000915527344,21.030000686645508,20.729999542236328,47800900.0,20.8799991607666,09:00,Monday
2010-01-05,20.940000534057617,20.989999771118164,20.600000381469727,52357700.0,20.8700008392334,09:00,Tuesday
2010-01-06,20.809999465942383,20.93000030517578,20.670000076293945,40037400.0,20.799999237060547,09:00,Wednesday
2010-01-07,20.729999542236328,20.760000228881836,20.34000015258789,54041500.0,20.600000381469727,09:00,Thursday
2010-01-08,20.540000915527344,20.889999389648438,20.399999618530273,48234700.0,20.829999923706055,09:00,Friday
2010-01-11,21.110000610351562,21.149999618530273,20.81999969482422,51086400.0,20.950000762939453,09:00,Monday
2010-01-12,20.8700008392334,20.899999618530273,20.3799991607666,69958400.0,20.610000610351562,09:00,Tuesday
2010-01-13,20.719999313354492,21.079999923706055,20.440000534057617,71446700.0,20.959999084472656,09:00,Wednesday
2010-01-14,21.110000610351562,21.549999237060547,21.049999237060547,150821600.0,21.479999542236328,09:00,Thursday
2010-01-15,21.389999389648438,21.399999618530273,20.770000457763672,198078600.0,20.799999237060547,09:00,Friday
2010-01-19,20.899999618530273,21.170000076293945,20.850000381469727,82573500.0,21.049999237060547,09:00,Tuesday
2010-01-20,20.989999771118164,21.139999389648438,20.850000381469727,65670100.0,21.079999923706055,09:00,Wednesday
2010-01-21,21.149999618530273,21.309999465942383,20.68000030517578,73633300.0,20.84000015258789,09:00,Thursday
2010-01-22,20.770000457763672,20.790000915527344,19.809999465942383,116302400.0,19.90999984741211,09:00,Friday
2010-01-25,20.239999771118164,20.579999923706055,20.139999389648438,73785600.0,20.31999969482422,09:00,Monday
2010-01-26,20.18000030517578,20.3799991607666,19.950000762939453,65298900.0,20.0,09:00,Tuesday
2010-01-27,20.0,20.329999923706055,19.81999969482422,74926200.0,20.239999771118164,09:00,Wednesday
2010-01-28,20.299999237060547,20.389999389648438,19.68000030517578,76974600.0,19.920000076293945,09:00,Thursday
2010-01-29,20.1299991607666,20.229999542236328,19.299999237060547,96053900.0,19.399999618530273,09:00,Friday
2010-02-01,19.469999313354492,19.75,19.440000534057617,50338300.0,19.610000610351562,09:00,Monday
2010-02-02,19.68000030517578,20.040000915527344,19.559999465942383,63332500.0,19.90999984741211,09:00,Tuesday
2010-02-03,19.780000686645508,19.8799991607666,19.469999313354492,45582300.0,19.68000030517578,09:00,Wednesday
2010-02-04,19.56999969482422,19.579999923706055,18.950000762939453,90931100.0,19.020000457763672,09:00,Thursday
2010-02-05,19.100000381469727,19.579999923706055,19.0,88711700.0,19.469999313354492,09:00,Friday
2010-02-08,19.479999542236328,19.790000915527344,19.299999237060547,62563200.0,19.350000381469727,09:00,Monday
2010-02-09,19.639999389648438,19.889999389648438,19.440000534057617,69454100.0,19.649999618530273,09:00,Tuesday
2010-02-10,19.59000015258789,19.8700008392334,19.450000762939453,56250600.0,19.690000534057617,09:00,Wednesday
2010-02-11,19.6299991607666,20.200000762939453,19.549999237060547,58837300.0,20.059999465942383,09:00,Thursday
2010-02-12,19.959999084472656,20.68000030517578,19.790000915527344,91108900.0,20.43000030517578,09:00,Friday
2010-02-16,20.6200008392334,20.850000381469727,20.549999237060547,69083400.0,20.719999313354492,09:00,Tuesday
2010-02-17,20.860000610351562,20.860000610351562,20.530000686645508,47296700.0,20.65999984741211,09:00,Wednesday
2010-02-18,20.639999389648438,20.850000381469727,20.549999237060547,42613600.0,20.84000015258789,09:00,Thursday
2010-02-19,20.719999313354492,20.969999313354492,20.579999923706055,40760000.0,20.81999969482422,09:00,Friday
2010-02-22,20.950000762939453,20.959999084472656,20.649999618530273,38730600.0,20.8700008392334,09:00,Monday
2010-02-23,20.84000015258789,20.950000762939453,20.290000915527344,62245300.0,20.389999389648438,09:00,Tuesday
