Date,Open,High,Low,Volume,Close,Time,Day
2010-01-04,170.0500030517578,174.25,169.50999450683594,9135000.0,173.0800018310547,09:00,Monday
2010-01-05,173.0,176.25999450683594,172.57000732421875,11659400.0,176.13999938964844,09:00,Tuesday
2010-01-06,175.3800048828125,175.3800048828125,173.75999450683594,7381100.0,174.25999450683594,09:00,Wednesday
2010-01-07,174.32000732421875,178.75,173.9499969482422,8727400.0,177.6699981689453,09:00,Thursday
2010-01-08,176.3300018310547,177.42999267578125,173.9499969482422,7268100.0,174.30999755859375,09:00,Friday
2010-01-11,175.05999755859375,175.05999755859375,170.52000427246094,7704900.0,171.55999755859375,09:00,Monday
2010-01-12,170.00999450683594,170.47999572753906,167.02999877929688,10360100.0,167.82000732421875,09:00,Tuesday
2010-01-13,168.00999450683594,169.6699981689453,166.1199951171875,11269500.0,169.07000732421875,09:00,Wednesday
2010-01-14,168.0,170.72000122070312,167.2100067138672,10521400.0,168.52999877929688,09:00,Thursday
2010-01-15,167.60000610351562,167.8000030517578,164.5800018310547,10896300.0,165.2100067138672,09:00,Friday
2010-01-19,165.00999450683594,167.39999389648438,163.89999389648438,7705300.0,166.86000061035156,09:00,Tuesday
2010-01-20,165.8000030517578,168.17999267578125,164.32000732421875,8893900.0,167.7899932861328,09:00,Wednesday
2010-01-21,169.2899932861328,171.0,156.77000427246094,51738300.0,160.8699951171875,09:00,Thursday
2010-01-22,158.69000244140625,159.75,152.25,30175600.0,154.1199951171875,09:00,Friday
2010-01-25,156.1300048828125,158.3000030517578,154.5,17877000.0,154.97999572753906,09:00,Monday
2010-01-26,154.91000366210938,156.5,150.6999969482422,15985900.0,150.8800048828125,09:00,Tuesday
2010-01-27,150.75,152.92999267578125,148.27000427246094,19899000.0,151.5,09:00,Wednesday
2010-01-28,154.22999572753906,155.1999969482422,149.9499969482422,16160700.0,153.2899932861328,09:00,Thursday
2010-01-29,154.44000244140625,154.8800048828125,147.80999755859375,18502800.0,148.72000122070312,09:00,Friday
2010-02-01,149.82000732421875,155.25,149.2100067138672,12980800.0,153.1300048828125,09:00,Monday
2010-02-02,153.64999389648438,157.5,153.64999389648438,17246600.0,156.94000244140625,09:00,Tuesday
2010-02-03,157.9199981689453,159.94000244140625,157.11000061035156,16785200.0,157.22999572753906,09:00,Wednesday
2010-02-04,155.27000427246094,156.05999755859375,150.4499969482422,18895000.0,150.67999267578125,09:00,Thursday
2010-02-05,150.82000732421875,154.4600067138672,148.8699951171875,18759200.0,154.16000366210938,09:00,Friday
2010-02-08,154.27000427246094,154.60000610351562,150.82000732421875,10257300.0,151.10000610351562,09:00,Monday
2010-02-09,152.6999969482422,153.52999877929688,149.64999389648438,14017300.0,152.49000549316406,09:00,Tuesday
2010-02-10,152.77000427246094,155.35000610351562,151.75999450683594,10555300.0,153.6300048828125,09:00,Wednesday
2010-02-11,154.39999389648438,155.32000732421875,152.25,11163400.0,154.0500030517578,09:00,Thursday
2010-02-12,152.3699951171875,154.5,151.13999938964844,10293200.0,153.92999267578125,09:00,Friday
2010-02-16,155.3000030517578,157.74000549316406,154.60000610351562,11497100.0,157.39999389648438,09:00,Tuesday
2010-02-17,158.0,158.19000244140625,155.80999755859375,10070000.0,157.25999450683594,09:00,Wednesday
2010-02-18,155.61000061035156,156.58999633789062,154.8800048828125,10991100.0,155.72999572753906,09:00,Thursday
2010-02-19,154.50999450683594,157.0,154.49000549316406,8693000.0,156.17999267578125,09:00,Friday
2010-02-22,157.1999969482422,157.97000122070312,156.02999877929688,7375500.0,156.7100067138672,09:00,Monday
2010-02-23,156.80999755859375,160.2100067138672,155.91000366210938,15696000.0,156.6999969482422,09:00,Tuesday
